DATE,COMPAPER
2001-01-03,298.74986419
2001-01-10,306.70070703
2001-01-17,312.00767027
2001-01-24,302.14335685
2001-01-31,294.74725778
2001-02-07,294.48288562
2001-02-14,287.70526074
2001-02-21,288.47941131
2001-02-28,282.74988398
2001-03-07,273.84247435
2001-03-14,271.49552638
2001-03-21,277.5797488
2001-03-28,270.14298065
2001-04-04,264.37459518
2001-04-11,263.49798861
2001-04-18,268.76484701
2001-04-25,268.91498073
2001-05-02,267.57527119
2001-05-09,263.15412319
2001-05-16,258.00183245
2001-05-23,250.8320065
2001-05-30,248.91033996
2001-06-06,247.38006033
2001-06-13,244.57621277
2001-06-20,240.51635532
2001-06-27,234.38503139
2001-07-04,231.65195856
2001-07-11,230.83064978
2001-07-18,233.941181
2001-07-25,228.72341267
2001-08-01,226.42365579
2001-08-08,225.34830685
2001-08-15,225.52732817
2001-08-22,222.68471634
2001-08-29,218.16460665
2001-09-05,213.86046888
2001-09-12,194.097786901
2001-09-19,212.56852419
2001-09-26,211.73141107
2001-10-03,220.64138746
2001-10-10,217.88087509
2001-10-17,223.75457478
2001-10-24,218.84402289
2001-10-31,213.78433105
2001-11-07,212.22184856
2001-11-14,207.4759513
2001-11-21,209.79572776
2001-11-28,206.0448755
2001-12-05,209.97359503
2001-12-12,202.72415664
2001-12-19,206.07976967
2001-12-26,204.60977766
2002-01-02,198.90459415
2002-01-09,200.9162432
2002-01-16,209.89210919
2002-01-23,210.94137938
2002-01-30,208.97967919
2002-02-06,206.65541591
2002-02-13,199.89004211
2002-02-20,199.11673221
2002-02-27,194.33382834
2002-03-06,187.91369578
2002-03-13,187.10407676
2002-03-20,188.80433056
2002-03-27,186.35560695
2002-04-03,185.35822785
2002-04-10,182.06448574
2002-04-17,185.29738957
2002-04-24,184.93880941
2002-05-01,185.61175079
2002-05-08,180.79273311
2002-05-15,185.66180458
2002-05-22,177.6228403
2002-05-29,172.4920945
2002-06-05,170.98884962
2002-06-12,171.34509631
2002-06-19,173.41054364
2002-06-26,170.99969057
2002-07-03,172.71064527
2002-07-10,172.94216079
2002-07-17,171.8811385
2002-07-24,173.3854064
2002-07-31,173.2501013
2002-08-07,174.18841352
2002-08-14,170.3778297
2002-08-21,172.13270479
2002-08-28,166.97056198
2002-09-04,165.22747452
2002-09-11,165.87884036
2002-09-18,171.03175144
2002-09-25,165.46738345
2002-10-02,160.57298192
2002-10-09,156.27875525
2002-10-16,160.01447486
2002-10-23,158.27703337
2002-10-30,158.09879211
2002-11-06,156.12536127
2002-11-13,153.6585697
2002-11-20,154.40039218
2002-11-27,153.55358822
2002-12-04,150.5056704
2002-12-11,152.53824258
2002-12-18,153.00090333
2002-12-25,146.7830503
2003-01-01,139.12326363
2003-01-08,148.52303305
2003-01-15,149.82413976
2003-01-22,150.75852405
2003-01-29,144.88440394
2003-02-05,149.20965205
2003-02-12,143.71682083
2003-02-19,148.22814078
2003-02-26,147.60171402
2003-03-05,149.35228141
2003-03-12,149.284889
2003-03-19,153.89001797
2003-03-26,148.74145895
2003-04-02,143.35626981
2003-04-09,143.13046495
2003-04-16,148.70204827
2003-04-23,146.23743347
2003-04-30,146.05171794
2003-05-07,142.14274481
2003-05-14,139.00730811
2003-05-21,139.0848187
2003-05-28,134.30497719
2003-06-04,132.22995324
2003-06-11,130.4381877
2003-06-18,131.65064926
2003-06-25,130.90851693
2003-07-02,128.06245806
2003-07-09,127.78293441
2003-07-16,129.0429688
2003-07-23,127.58985278
2003-07-30,127.43489446
2003-08-06,131.35304076
2003-08-13,128.17177097
2003-08-20,131.88570727
2003-08-27,127.61962464
2003-09-03,127.85324073
2003-09-10,127.89349142
2003-09-17,132.69633491
2003-09-24,128.36389098
2003-10-01,127.21371129
2003-10-08,126.10548187
2003-10-15,130.81339284
2003-10-22,129.38233851
2003-10-29,125.14629122
2003-11-05,123.67520803
2003-11-12,123.59899286
2003-11-19,125.49285764
2003-11-26,124.69376806
2003-12-03,115.446532294
2003-12-10,113.520042478
2003-12-17,116.030757123
2003-12-24,108.732524255
2003-12-31,98.027519963
2004-01-07,104.582769301
2004-01-14,104.634829929
2004-01-21,109.026566896
2004-01-28,110.114771137
2004-02-04,112.375402312
2004-02-11,107.668004411
2004-02-18,112.422370051
2004-02-25,114.765801963
2004-03-03,114.54563768
2004-03-10,113.462861982
2004-03-17,115.426158825
2004-03-24,111.526083192
2004-03-31,106.859477489
2004-04-07,112.981362193
2004-04-14,112.202665562
2004-04-21,118.17442732
2004-04-28,118.12933631
2004-05-05,113.969326596
2004-05-12,113.407573815
2004-05-19,117.82587992
2004-05-26,117.42512096
2004-06-02,117.34206291
2004-06-09,119.61587495
2004-06-16,126.64630994
2004-06-23,121.42388717
2004-06-30,113.948720061
2004-07-07,120.24219331
2004-07-14,123.18362856
2004-07-21,127.66422196
2004-07-28,130.03769087
2004-08-04,128.54888518
2004-08-11,125.13649592
2004-08-18,127.31516047
2004-08-25,125.2839059
2004-09-01,124.2207311
2004-09-08,125.36658132
2004-09-15,131.87772669
2004-09-22,124.62616135
2004-09-29,118.93597349
2004-10-06,126.56622432
2004-10-13,130.74927376
2004-10-20,135.83283057
2004-10-27,136.58528222
2004-11-03,138.17173274
2004-11-10,131.2681382
2004-11-17,131.83659811
2004-11-24,133.82507858
2004-12-01,129.21992443
2004-12-08,126.48271862
2004-12-15,130.82401296
2004-12-22,129.10784216
2004-12-29,116.98484812
2005-01-05,122.03507367
2005-01-12,126.67860202
2005-01-19,131.55992518
2005-01-26,135.45016604
2005-02-02,135.72886026
2005-02-09,134.5281286
2005-02-16,137.44427312
2005-02-23,137.00468109
2005-03-02,139.15228146
2005-03-09,136.00894287
2005-03-16,142.66753302
2005-03-23,143.78613095
2005-03-30,130.58792154
2005-04-06,141.09927295
2005-04-13,145.93390411
2005-04-20,149.45629844
2005-04-27,149.71677224
2005-05-04,147.48677473
2005-05-11,146.06413454
2005-05-18,149.84037233
2005-05-25,150.30256746
2005-06-01,147.25973803
2005-06-08,146.22376484
2005-06-15,152.00374784
2005-06-22,148.31471973
2005-06-29,130.77810805
2005-07-06,129.28020372
2005-07-13,135.34246761
2005-07-20,141.23891431
2005-07-27,137.0870393
2005-08-03,141.38344761
2005-08-10,138.80345298
2005-08-17,139.49373224
2005-08-24,137.66720176
2005-08-31,137.4801334
2005-09-07,140.26449702
2005-09-14,143.63671336
2005-09-21,151.09847438
2005-09-28,140.15939484
2005-10-05,140.179069
2005-10-12,144.06749183
2005-10-19,145.93014847
2005-10-26,151.65159729
2005-11-02,159.12580783
2005-11-09,162.7695738
2005-11-16,163.47888269
2005-11-23,163.84838734
2005-11-30,154.78680326
2005-12-07,146.70099557
2005-12-14,139.88258018
2005-12-21,136.09378475
2005-12-28,129.129182609
2006-01-04,122.155937513
2006-01-11,126.284968391
2006-01-18,125.164336043
2006-01-25,130.37210732
2006-02-01,127.38010099
2006-02-08,123.886049769
2006-02-15,129.75511845
2006-02-22,129.86071758
2006-03-01,134.51274465
2006-03-08,131.56474648
2006-03-15,138.06750422
2006-03-22,132.82585045
2006-03-29,130.31522725
2006-04-05,129.23919685
2006-04-12,131.36901136
2006-04-19,139.92839707
2006-04-26,146.95964679
2006-05-03,147.79448758
2006-05-10,139.8534478
2006-05-17,143.35487634
2006-05-24,143.02715339
2006-05-31,141.04165197
2006-06-07,144.78144947
2006-06-14,146.54395604
2006-06-21,152.89697498
2006-06-28,142.82853544
2006-07-05,140.5031987
2006-07-12,145.79226202
2006-07-19,146.52886893
2006-07-26,145.50452533
2006-08-02,148.98976431
2006-08-09,143.14507284
2006-08-16,146.48593493
2006-08-23,141.53382295
2006-08-30,140.79432925
2006-09-06,140.18356221
2006-09-13,139.14664852
2006-09-20,150.96193072
2006-09-27,144.25613967
2006-10-04,142.39451222
2006-10-11,141.422701
2006-10-18,144.10983634
2006-10-25,147.39937383
2006-11-01,153.43897306
2006-11-08,157.4480954
2006-11-15,161.55832021
2006-11-22,160.86694381
2006-11-29,154.98549935
2006-12-06,157.26407761
2006-12-13,157.88354683
2006-12-20,164.05238686
2006-12-27,153.31756994
2007-01-03,144.84351972
2007-01-10,152.61720575
2007-01-17,156.81228435
2007-01-24,157.05482658
2007-01-31,148.16808467
2007-02-07,152.67313394
2007-02-14,151.56549974
2007-02-21,156.38720985
2007-02-28,153.99604369
2007-03-07,157.38562099
2007-03-14,156.70389231
2007-03-21,160.025247
2007-03-28,158.50513058
2007-04-04,158.54049387
2007-04-11,160.3521128
2007-04-18,164.79030881
2007-04-25,166.60972192
2007-05-02,168.42347678
2007-05-09,175.97135443
2007-05-16,181.93710423
2007-05-23,180.43682996
2007-05-30,169.45038718
2007-06-06,177.13239701
2007-06-13,185.77586537
2007-06-20,205.32521153
2007-06-27,196.08394021
2007-07-04,183.11162316
2007-07-11,193.52796786
2007-07-18,197.44225177
2007-07-25,200.63291988
2007-08-01,195.43074227
2007-08-08,200.04398118
2007-08-15,194.20504143
2007-08-22,192.77712134
2007-08-29,183.62516788
2007-09-05,173.98389628
2007-09-12,175.32624943
2007-09-19,187.74334861
2007-09-26,176.98557963
2007-10-03,170.13118419
2007-10-10,171.24861919
2007-10-17,180.34693098
2007-10-24,186.48370677
2007-10-31,175.43811977
2007-11-07,186.16620322
2007-11-14,176.47231841
2007-11-21,191.63968241
2007-11-28,184.31764483
2007-12-05,184.86950733
2007-12-12,174.08993717
2007-12-19,182.06786101
2007-12-26,171.59751017
2008-01-02,155.95984022
2008-01-09,171.81445655
2008-01-16,176.90251303
2008-01-23,177.00756504
2008-01-30,172.50675536
2008-02-06,177.33556442
2008-02-13,175.64654605
2008-02-20,184.90257373
2008-02-27,185.91151783
2008-03-05,177.39209133
2008-03-12,179.93019244
2008-03-19,189.53148592
2008-03-26,179.2514076
2008-04-02,173.03391356
2008-04-09,181.47275527
2008-04-16,191.86353491
2008-04-23,196.28264372
2008-04-30,197.739297
2008-05-07,200.98479961
2008-05-14,195.01797971
2008-05-21,196.89521163
2008-05-28,187.50891051
2008-06-04,186.84306769
2008-06-11,191.00214877
2008-06-18,204.67905225
2008-06-25,196.67423349
2008-07-02,185.68021745
2008-07-09,196.0974235
2008-07-16,202.40722728
2008-07-23,199.1377822
2008-07-30,189.18160722
2008-08-06,193.76893238
2008-08-13,189.43635418
2008-08-20,203.85953925
2008-08-27,203.70337592
2008-09-03,206.24652646
2008-09-10,205.35039034
2008-09-17,204.06797249
2008-09-24,192.55185413
2008-10-01,183.85305669
2008-10-08,188.25368665
2008-10-15,187.59835391
2008-10-22,193.44445522
2008-10-29,190.51854438
2008-11-05,199.19036413
2008-11-12,205.18340065
2008-11-19,212.98877642
2008-11-26,209.83322914
2008-12-03,214.57858379
2008-12-10,213.36759715
2008-12-17,207.9914811
2008-12-24,196.64748369
2008-12-31,181.13263388
2009-01-07,190.45824251
2009-01-14,187.42230056
2009-01-21,192.31128352
2009-01-28,194.75855576
2009-02-04,195.47315903
2009-02-11,186.9780024
2009-02-18,184.44384252
2009-02-25,185.20541899
2009-03-04,179.75743045
2009-03-11,176.47886949
2009-03-18,173.00129404
2009-03-25,163.33622603
2009-04-01,152.6138693
2009-04-08,156.51759506
2009-04-15,162.347577
2009-04-22,157.39230546
2009-04-29,156.88814457
2009-05-06,159.86570639
2009-05-13,155.80340341
2009-05-20,163.57187511
2009-05-27,154.46080196
2009-06-03,158.38846778
2009-06-10,158.93798269
2009-06-17,154.66909432
2009-06-24,145.34856338
2009-07-01,134.295872521
2009-07-08,141.993685704
2009-07-15,138.039141054
2009-07-22,139.140105747
2009-07-29,136.207448185
2009-08-05,146.77310407
2009-08-12,138.97310689
2009-08-19,138.330007639
2009-08-26,134.46155215
2009-09-02,131.766536661
2009-09-09,128.486025729
2009-09-16,134.315697011
2009-09-23,124.223090229
2009-09-30,108.861075
2009-10-07,121.677715487
2009-10-14,121.883432611
2009-10-21,128.182668535
2009-10-28,122.067063848
2009-11-04,122.344447103
2009-11-11,120.472943177
2009-11-18,125.212272252
2009-11-25,122.768272566
2009-12-02,122.052795374
2009-12-09,120.10147331
2009-12-16,119.691748097
2009-12-23,112.354107704
2009-12-30,95.055239
2010-01-06,109.322093208
2010-01-13,113.197923122
2010-01-20,116.167834435
2010-01-27,117.101740124
2010-02-03,117.565081173
2010-02-10,115.168868118
2010-02-17,118.257363526
2010-02-24,115.173805555
2010-03-03,116.329418832
2010-03-10,115.003785802
2010-03-17,117.619762905
2010-03-24,109.506170675
2010-03-31,108.379250487
2010-04-07,116.792705873
2010-04-14,119.672264169
2010-04-21,124.346344767
2010-04-28,124.946619645
2010-05-05,126.583665769
2010-05-12,126.132490792
2010-05-19,127.606267935
2010-05-26,122.867257567
2010-06-02,123.295266204
2010-06-09,120.567836502
2010-06-16,127.179504199
2010-06-23,121.19402201
2010-06-30,115.364854871
2010-07-07,123.330824061
2010-07-14,122.946051267
2010-07-21,128.14214583
2010-07-28,125.754236672
2010-08-04,137.27581657
2010-08-11,133.53362159
2010-08-18,139.25616658
2010-08-25,139.03868723
2010-09-01,136.25615785
2010-09-08,133.71257683
2010-09-15,134.33326018
2010-09-22,128.366958618
2010-09-29,128.23968398
2010-10-06,128.54059698
2010-10-13,127.431733594
2010-10-20,136.61574385
2010-10-27,133.20079818
2010-11-03,133.86550951
2010-11-10,131.18043757
2010-11-17,136.41866858
2010-11-24,135.54675981
2010-12-01,130.17937435
2010-12-08,130.20976234
2010-12-15,129.723501694
2010-12-22,124.645590717
2010-12-29,114.920856888
2011-01-05,128.462262
2011-01-12,130.511925741
2011-01-19,134.32796234
2011-01-26,138.1154869
2011-02-02,138.75496728
2011-02-09,138.71227896
2011-02-16,143.36663047
2011-02-23,142.56577387
2011-03-02,149.20118815
2011-03-09,146.55470593
2011-03-16,155.41417925
2011-03-23,160.84726334
2011-03-30,148.218855
2011-04-06,158.30172426
2011-04-13,161.14201801
2011-04-20,160.08162185
2011-04-27,163.01454841
2011-05-04,162.90662176
2011-05-11,164.83138885
2011-05-18,170.80051044
2011-05-25,162.50233082
2011-06-01,156.66239356
2011-06-08,159.47735873
