DATE,TWEXM
1973-01-03,108.2588
1973-01-10,108.31
1973-01-17,108.3168
1973-01-24,108.2693
1973-01-31,107.8288
1973-02-07,107.5311
1973-02-14,107.087
1973-02-21,101.3312
1973-02-28,100.5567
1973-03-07,99.7613
1973-03-14,99.3603
1973-03-21,100.0502
1973-03-28,100.4555
1973-04-04,100.7945
1973-04-11,100.7113
1973-04-18,100.774
1973-04-25,100.8847
1973-05-02,100.9479
1973-05-09,100.8969
1973-05-16,100.1492
1973-05-23,99.5284
1973-05-30,99.4347
1973-06-06,98.374
1973-06-13,98.6008
1973-06-20,98.3165
1973-06-27,97.8948
1973-07-04,96.7567
1973-07-11,95.9784
1973-07-18,96.418
1973-07-25,96.2504
1973-08-01,96.298
1973-08-08,96.7825
1973-08-15,97.7071
1973-08-22,98.1674
1973-08-29,98.2112
1973-09-05,98.1734
1973-09-12,98.1554
1973-09-19,97.9764
1973-09-26,97.6078
1973-10-03,97.7159
1973-10-10,97.715
1973-10-17,97.3502
1973-10-24,97.1362
1973-10-31,97.569
1973-11-07,98.6958
1973-11-14,100.2566
1973-11-21,100.6141
1973-11-28,101.487
1973-12-05,101.5815
1973-12-12,101.7922
1973-12-19,101.9517
1973-12-26,102.0807
1974-01-02,102.5167
1974-01-09,104.9958
1974-01-16,105.7865
1974-01-23,106.9562
1974-01-30,106.3572
1974-02-06,104.9454
1974-02-13,104.5299
1974-02-20,103.3849
1974-02-27,102.1559
1974-03-06,102.7254
1974-03-13,101.964
1974-03-20,101.5394
1974-03-27,100.1335
1974-04-03,99.8846
1974-04-10,100.4171
1974-04-17,100.3882
1974-04-24,99.5657
1974-05-01,99.161
1974-05-08,99.0165
1974-05-15,98.4309
1974-05-22,99.0609
1974-05-29,99.4384
1974-06-05,99.9321
1974-06-12,99.9312
1974-06-19,100.2321
1974-06-26,100.7229
1974-07-03,100.6752
1974-07-10,101.016
1974-07-17,101.1127
1974-07-24,101.0828
1974-07-31,101.5867
1974-08-07,102.0849
1974-08-14,102.623
1974-08-21,103.1872
1974-08-28,103.5164
1974-09-04,103.7921
1974-09-11,103.8417
1974-09-18,103.4021
1974-09-25,103.1258
1974-10-02,103.3744
1974-10-09,103.109
1974-10-16,102.9684
1974-10-23,102.9175
1974-10-30,102.847
1974-11-06,102.745
1974-11-13,102.8612
1974-11-20,102.27
1974-11-27,102.1535
1974-12-04,102.1416
1974-12-11,101.7658
1974-12-18,101.4279
1974-12-25,101.4053
1975-01-01,101.0175
1975-01-08,100.8251
1975-01-15,100.9452
1975-01-22,100.5008
1975-01-29,99.5941
1975-02-05,100.1821
1975-02-12,99.9433
1975-02-19,99.3706
1975-02-26,98.3892
1975-03-05,97.7885
1975-03-12,98.3936
1975-03-19,98.436
1975-03-26,98.652
1975-04-02,99.2695
1975-04-09,99.6539
1975-04-16,100.0423
1975-04-23,100.1589
1975-04-30,100.2909
1975-05-07,100.2201
1975-05-14,100.1934
1975-05-21,100.34
1975-05-28,99.8395
1975-06-04,99.91
1975-06-11,99.9814
1975-06-18,100.1624
1975-06-25,100.4988
1975-07-02,101.2173
1975-07-09,101.8778
1975-07-16,102.4566
1975-07-23,103.379
1975-07-30,104.0172
1975-08-06,104.4546
1975-08-13,105.0206
1975-08-20,104.865
1975-08-27,104.8708
1975-09-03,104.8703
1975-09-10,104.8288
1975-09-17,105.1739
1975-09-24,106.2813
1975-10-01,106.462
1975-10-08,106.1319
1975-10-15,105.7308
1975-10-22,105.3398
1975-10-29,105.0518
1975-11-05,104.8488
1975-11-12,104.8976
1975-11-19,105.4538
1975-11-26,105.4804
1975-12-03,105.8378
1975-12-10,105.9545
1975-12-17,106.1546
1975-12-24,105.9812
1975-12-31,105.9924
1976-01-07,105.7275
1976-01-14,105.6907
1976-01-21,105.4935
1976-01-28,105.6023
1976-02-04,105.4314
1976-02-11,105.146
1976-02-18,105.3491
1976-02-25,105.3449
1976-03-03,105.3802
1976-03-10,105.8667
1976-03-17,106.3008
1976-03-24,106.2153
1976-03-31,106.1513
1976-04-07,106.3689
1976-04-14,106.6097
1976-04-21,106.7083
1976-04-28,106.8699
1976-05-05,106.6622
1976-05-12,106.3979
1976-05-19,106.8384
1976-05-26,107.0867
1976-06-02,107.3852
1976-06-09,107.4229
1976-06-16,107.1707
1976-06-23,106.9248
1976-06-30,106.5858
1976-07-07,106.4642
1976-07-14,106.4627
1976-07-21,106.6342
1976-07-28,106.6618
1976-08-04,106.4292
1976-08-11,106.7341
1976-08-18,106.4143
1976-08-25,106.2323
1976-09-01,106.0551
1976-09-08,105.8625
1976-09-15,105.6605
1976-09-22,105.5934
1976-09-29,105.8409
1976-10-06,105.7543
1976-10-13,105.8815
1976-10-20,106.356
1976-10-27,106.4802
1976-11-03,106.6734
1976-11-10,106.5932
1976-11-17,106.6286
1976-11-24,106.7584
1976-12-01,108.4502
1976-12-08,108.5265
1976-12-15,108.0348
1976-12-22,107.4995
1976-12-29,107.0844
1977-01-05,106.6604
1977-01-12,106.9475
1977-01-19,107.221
1977-01-26,107.2974
1977-02-02,107.5529
1977-02-09,107.4335
1977-02-16,107.0913
1977-02-23,107.149
1977-03-02,107.5288
1977-03-09,107.5668
1977-03-16,107.8044
1977-03-23,107.4265
1977-03-30,107.2313
1977-04-06,107.1397
1977-04-13,106.8156
1977-04-20,106.8659
1977-04-27,107.0466
1977-05-04,106.8496
1977-05-11,106.9002
1977-05-18,106.9942
1977-05-25,106.9798
1977-06-01,106.9761
1977-06-08,106.9523
1977-06-15,106.7181
1977-06-22,106.7935
1977-06-29,106.6566
1977-07-06,105.8814
1977-07-13,105.6043
1977-07-20,105.5134
1977-07-27,105.3637
1977-08-03,106.0352
1977-08-10,106.2525
1977-08-17,106.6582
1977-08-24,106.4736
1977-08-31,106.4222
1977-09-07,106.7893
1977-09-14,106.78
1977-09-21,106.7648
1977-09-28,106.6948
1977-10-05,106.0881
1977-10-12,105.7636
1977-10-19,105.4274
1977-10-26,105.43
1977-11-02,104.5501
1977-11-09,104.6532
1977-11-16,104.2693
1977-11-23,103.8393
1977-11-30,103.57
1977-12-07,103.1392
1977-12-14,102.4082
1977-12-21,101.6146
1977-12-28,101.8766
1978-01-04,100.3027
1978-01-11,101.3753
1978-01-18,101.3295
1978-01-25,101.2201
1978-02-01,101.2162
1978-02-08,101.4564
1978-02-15,101.4303
1978-02-22,100.5289
1978-03-01,100.3013
1978-03-08,100.1223
1978-03-15,100.5207
1978-03-22,100.0656
1978-03-29,99.3747
1978-04-05,99.0224
1978-04-12,98.8206
1978-04-19,99.6043
1978-04-26,100.8779
1978-05-03,100.3006
1978-05-10,100.3314
1978-05-17,100.7045
1978-05-24,100.9545
1978-05-31,100.401
1978-06-07,99.6865
1978-06-14,99.2662
1978-06-21,98.6973
1978-06-28,97.8601
1978-07-05,96.9921
1978-07-12,96.6454
1978-07-19,96.7049
1978-07-26,95.7643
1978-08-02,94.6787
1978-08-09,94.2248
1978-08-16,92.8117
1978-08-23,94.3137
1978-08-30,94.6124
1978-09-06,94.2506
1978-09-13,94.6992
1978-09-20,94.308
1978-09-27,93.8194
1978-10-04,93.9206
1978-10-11,93.3158
1978-10-18,92.3773
1978-10-25,91.4887
1978-11-01,90.1416
1978-11-08,93.277
1978-11-15,93.5659
1978-11-22,95.1431
1978-11-29,95.4227
1978-12-06,95.5844
1978-12-13,95.1451
1978-12-20,94.193
1978-12-27,93.8671
1979-01-03,93.5647
1979-01-10,94.1072
1979-01-17,94.5382
1979-01-24,94.3534
1979-01-31,95.1191
1979-02-07,95.2194
1979-02-14,94.7696
1979-02-21,95.0721
1979-02-28,95.0724
1979-03-07,95.1841
1979-03-14,95.1056
1979-03-21,95.1971
1979-03-28,94.9881
1979-04-04,95.4504
1979-04-11,95.5857
1979-04-18,95.9196
1979-04-25,96.0399
1979-05-02,96.4773
1979-05-09,96.2483
1979-05-16,96.2642
1979-05-23,96.9091
1979-05-30,97.1125
1979-06-06,97.2614
1979-06-13,97.1992
1979-06-20,96.5545
1979-06-27,95.367
1979-07-04,95.1791
1979-07-11,94.7235
1979-07-18,94.229
1979-07-25,93.8701
1979-08-01,94.2531
1979-08-08,94.7108
1979-08-15,94.6584
1979-08-22,94.8541
1979-08-29,94.9916
1979-09-05,94.9217
1979-09-12,94.6738
1979-09-19,95.2807
1979-09-26,94.5804
1979-10-03,94.241
1979-10-10,95.0789
1979-10-17,96.1548
1979-10-24,96.9172
1979-10-31,97.5112
1979-11-07,97.5563
1979-11-14,98.0928
1979-11-21,97.5879
1979-11-28,97.5043
1979-12-05,96.642
1979-12-12,95.8483
1979-12-19,96.0435
1979-12-26,95.8651
1980-01-02,95.4485
1980-01-09,94.7151
1980-01-16,94.9421
1980-01-23,95.1421
1980-01-30,95.4123
1980-02-06,95.3816
1980-02-13,95.3457
1980-02-20,95.8146
1980-02-27,96.2758
1980-03-05,96.8097
1980-03-12,97.6461
1980-03-19,99.2182
1980-03-26,99.9395
1980-04-02,101.4926
1980-04-09,102.0411
1980-04-16,99.8358
1980-04-23,98.9542
1980-04-30,97.4654
1980-05-07,96.8464
1980-05-14,95.7956
1980-05-21,95.3646
1980-05-28,93.8818
1980-06-04,94.0707
1980-06-11,93.1471
1980-06-18,92.8038
1980-06-25,93.007
1980-07-02,93.0389
1980-07-09,92.4809
1980-07-16,92.5565
1980-07-23,92.8076
1980-07-30,93.6588
1980-08-06,94.3115
1980-08-13,94.0992
1980-08-20,94.37
1980-08-27,94.2224
1980-09-03,93.2175
1980-09-10,93.1816
1980-09-17,92.8601
1980-09-24,93.3677
1980-10-01,93.2934
1980-10-08,92.8644
1980-10-15,92.802
1980-10-22,93.3852
1980-10-29,94.2473
1980-11-05,94.8794
1980-11-12,95.4645
1980-11-19,95.5112
1980-11-26,95.9564
1980-12-03,96.7019
1980-12-10,96.6764
1980-12-17,97.4945
1980-12-24,96.3649
1980-12-31,95.6417
1981-01-07,94.835
1981-01-14,95.7102
1981-01-21,95.7722
1981-01-28,96.7065
1981-02-04,98.1344
1981-02-11,98.587
1981-02-18,100.3399
1981-02-25,99.1671
1981-03-04,100.3299
1981-03-11,99.8104
1981-03-18,98.99
1981-03-25,98.6354
1981-04-01,99.7965
1981-04-08,100.5276
1981-04-15,101.5019
1981-04-22,102.2329
1981-04-29,101.8183
1981-05-06,103.2203
1981-05-13,104.3364
1981-05-20,105.2037
1981-05-27,105.7698
1981-06-03,106.1029
1981-06-10,108.0043
1981-06-17,106.6357
1981-06-24,106.5769
1981-07-01,107.6374
1981-07-08,108.8169
1981-07-15,109.0198
1981-07-22,109.6856
1981-07-29,110.5525
1981-08-05,112.7856
1981-08-12,112.6349
1981-08-19,111.1114
1981-08-26,109.9369
1981-09-02,109.6857
1981-09-09,109.5685
1981-09-16,108.5488
1981-09-23,106.7049
1981-09-30,108.4344
1981-10-07,107.4971
1981-10-14,106.3709
1981-10-21,107.6733
1981-10-28,108.9136
1981-11-04,107.2522
1981-11-11,106.4323
1981-11-18,105.7829
1981-11-25,104.8574
1981-12-02,103.8804
1981-12-09,104.7293
1981-12-16,105.9199
1981-12-23,105.9451
1981-12-30,105.9749
1982-01-06,105.3717
1982-01-13,106.5134
1982-01-20,107.3871
1982-01-27,108.0755
1982-02-03,109.0871
1982-02-10,110.0152
1982-02-17,111.192
1982-02-24,110.5
1982-03-03,111.5662
1982-03-10,110.8569
1982-03-17,111.9509
1982-03-24,112.9146
1982-03-31,113.9684
1982-04-07,114.1677
1982-04-14,114.5849
1982-04-21,113.9251
1982-04-28,112.7351
1982-05-05,111.5234
1982-05-12,110.428
1982-05-19,111.55
1982-05-26,111.9405
1982-06-02,113.5905
1982-06-09,114.4727
1982-06-16,116.531
1982-06-23,118.9838
1982-06-30,119.1864
1982-07-07,119.497
1982-07-14,119.1603
1982-07-21,117.9515
1982-07-28,116.9157
1982-08-04,118.1826
1982-08-11,119.6467
1982-08-18,119.6697
1982-08-25,117.1837
1982-09-01,118.3996
1982-09-08,118.3311
1982-09-15,119.4933
1982-09-22,119.4977
1982-09-29,120.5317
1982-10-06,121.423
1982-10-13,120.0117
1982-10-20,120.9895
1982-10-27,122.1655
1982-11-03,122.6987
1982-11-10,122.7755
1982-11-17,122.1655
1982-11-24,120.7767
1982-12-01,119.2334
1982-12-08,117.9277
1982-12-15,118.4924
1982-12-22,117.5313
1982-12-29,116.2177
1983-01-05,115.0986
1983-01-12,114.317
1983-01-19,115.0371
1983-01-26,117.1269
1983-02-02,118.0897
1983-02-09,117.7434
1983-02-16,116.393
1983-02-23,116.524
1983-03-02,117.4726
1983-03-09,117.4792
1983-03-16,117.6156
1983-03-23,118.7716
1983-03-30,119.3337
1983-04-06,119.1144
1983-04-13,118.8468
1983-04-20,118.8931
1983-04-27,118.4824
1983-05-04,118.6579
1983-05-11,117.7699
1983-05-18,117.9349
1983-05-25,118.9007
1983-06-01,119.4704
1983-06-08,120.4923
1983-06-15,121.2072
1983-06-22,120.6131
1983-06-29,120.279
1983-07-06,120.7616
1983-07-13,121.3682
1983-07-20,121.5341
1983-07-27,121.6593
1983-08-03,122.7904
1983-08-10,123.8833
1983-08-17,123.9989
1983-08-24,122.5901
1983-08-31,123.6363
1983-09-07,124.0391
1983-09-14,123.5967
1983-09-21,123.2526
1983-09-28,122.6132
1983-10-05,121.6782
1983-10-12,120.7503
1983-10-19,120.9953
1983-10-26,121.0159
1983-11-02,121.6814
1983-11-09,122.5613
1983-11-16,122.4748
1983-11-23,123.0904
1983-11-30,123.239
1983-12-07,123.5646
1983-12-14,124.695
1983-12-21,125.0208
1983-12-28,124.4013
1984-01-04,124.0781
1984-01-11,125.4674
1984-01-18,125.341
1984-01-25,125.4303
1984-02-01,125.4327
1984-02-08,124.4591
1984-02-15,124.0341
1984-02-22,123.3047
1984-02-29,122.3909
1984-03-07,120.6098
1984-03-14,121.0032
1984-03-21,122.0386
1984-03-28,121.8942
1984-04-04,121.8123
1984-04-11,122.2003
1984-04-18,122.4292
1984-04-25,123.1026
1984-05-02,124.172
1984-05-09,125.117
1984-05-16,125.8413
1984-05-23,126.1418
1984-05-30,125.7373
1984-06-06,124.8997
1984-06-13,125.6223
1984-06-20,126.4817
1984-06-27,128.0706
1984-07-04,128.6654
1984-07-11,130.4985
1984-07-18,130.7498
1984-07-25,131.2243
1984-08-01,131.4419
1984-08-08,130.9408
1984-08-15,130.8786
1984-08-22,130.1132
1984-08-29,130.1247
1984-09-05,131.124
1984-09-12,133.0002
1984-09-19,134.6103
1984-09-26,134.6996
1984-10-03,134.4275
1984-10-10,134.8681
1984-10-17,136.3006
1984-10-24,135.3114
1984-10-31,134.489
1984-11-07,132.2186
1984-11-14,132.0431
1984-11-21,133.2571
1984-11-28,134.8696
1984-12-05,135.6388
1984-12-12,135.5555
1984-12-19,135.9367
1984-12-26,136.5577
1985-01-02,137.7088
1985-01-09,138.5223
1985-01-16,139.1009
1985-01-23,139.3133
1985-01-30,139.1212
1985-02-06,140.4409
1985-02-13,142.4855
1985-02-20,143.3035
1985-02-27,146.4101
1985-03-06,146.279
1985-03-13,146.0862
1985-03-20,144.5918
1985-03-27,141.0343
1985-04-03,139.1966
1985-04-10,140.4614
1985-04-17,137.1368
1985-04-24,136.6872
1985-05-01,139.2706
1985-05-08,140.8535
1985-05-15,138.2529
1985-05-22,137.5909
1985-05-29,138.4196
1985-06-05,137.4906
1985-06-12,137.7968
1985-06-19,136.9419
1985-06-26,136.9716
1985-07-03,136.2483
1985-07-10,134.0948
1985-07-17,131.3651
1985-07-24,131.2676
1985-07-31,130.3831
1985-08-07,131.0868
1985-08-14,130.7483
1985-08-21,129.7184
1985-08-28,129.6769
1985-09-04,131.2803
1985-09-11,134.1069
1985-09-18,133.7425
1985-09-25,129.8081
1985-10-02,125.2901
1985-10-09,124.5182
1985-10-16,125.2024
1985-10-23,124.5691
1985-10-30,124.2641
1985-11-06,123.0175
1985-11-13,123.1514
1985-11-20,122.5665
1985-11-27,121.1705
1985-12-04,121.075
1985-12-11,121.712
1985-12-18,121.4772
1985-12-25,121.6311
1986-01-01,120.8187
1986-01-08,120.4827
1986-01-15,120.7207
1986-01-22,120.9575
1986-01-29,119.5893
1986-02-05,118.796
1986-02-12,117.4679
1986-02-19,114.9327
1986-02-26,113.6048
1986-03-05,113.2965
1986-03-12,113.4868
1986-03-19,112.5596
1986-03-26,113.2742
1986-04-02,114.2045
1986-04-09,115.1736
1986-04-16,113.5133
1986-04-23,110.5292
1986-04-30,108.8282
1986-05-07,109.1356
1986-05-14,107.9259
1986-05-21,109.4497
1986-05-28,110.8797
1986-06-04,112.4194
1986-06-11,110.2264
1986-06-18,109.7931
1986-06-25,110.2138
1986-07-02,108.9362
1986-07-09,108.0643
1986-07-16,107.8952
1986-07-23,106.7139
1986-07-30,106.8691
1986-08-06,105.8023
1986-08-13,105.6255
1986-08-20,105.3516
1986-08-27,105.3822
1986-09-03,105.2878
1986-09-10,105.6343
1986-09-17,105.8125
1986-09-24,104.963
1986-10-01,105.4357
1986-10-08,104.8278
1986-10-15,104.6844
1986-10-22,104.7945
1986-10-29,106.6893
1986-11-05,107.9917
1986-11-12,107.4048
1986-11-19,106.6607
1986-11-26,106.9159
1986-12-03,105.9186
1986-12-10,106.6113
1986-12-17,106.9014
1986-12-24,106.0543
1986-12-31,104.6677
1987-01-07,104.0693
1987-01-14,102.8978
1987-01-21,101.2683
1987-01-28,100.1626
1987-02-04,99.9525
1987-02-11,100.4151
1987-02-18,100.4679
1987-02-25,100.392
1987-03-04,100.1546
1987-03-11,100.3059
1987-03-18,99.6371
1987-03-25,98.6828
1987-04-01,97.7934
1987-04-08,97.6763
1987-04-15,96.6217
1987-04-22,96.9437
1987-04-29,96.1462
1987-05-06,95.7901
1987-05-13,95.9457
1987-05-20,95.8362
1987-05-27,96.842
1987-06-03,97.5584
1987-06-10,97.2622
1987-06-17,97.5647
1987-06-24,98.1548
1987-07-01,98.2976
1987-07-08,98.8621
1987-07-15,99.024
1987-07-22,99.7133
1987-07-29,99.6556
1987-08-05,99.9208
1987-08-12,100.5872
1987-08-19,99.4129
1987-08-26,97.2657
1987-09-02,96.6039
1987-09-09,96.1235
1987-09-16,96.9161
1987-09-23,96.8789
1987-09-30,97.4134
1987-10-07,97.8607
1987-10-14,96.7824
1987-10-21,96.2416
1987-10-28,95.8112
1987-11-04,93.9522
1987-11-11,92.1923
1987-11-18,92.9079
1987-11-25,92.2338
1987-12-02,91.0962
1987-12-09,91.4159
1987-12-16,89.6058
1987-12-23,89.2877
1987-12-30,88.0914
1988-01-06,88.2608
1988-01-13,89.3959
1988-01-20,90.0095
1988-01-27,89.9302
1988-02-03,90.1689
1988-02-10,90.5018
1988-02-17,90.9494
1988-02-24,90.706
1988-03-02,90.1185
1988-03-09,89.6041
1988-03-16,89.002
1988-03-23,89.4288
1988-03-30,88.1823
1988-04-06,87.8123
1988-04-13,88.704
1988-04-20,87.5438
1988-04-27,87.8718
