DATE,WBA3M
1976-01-02,5.25
1976-01-09,5.05
1976-01-16,4.83
1976-01-23,4.78
1976-01-30,4.72
1976-02-06,4.74
1976-02-13,4.76
1976-02-20,4.80
1976-02-27,4.81
1976-03-05,5.00
1976-03-12,4.94
1976-03-19,4.97
1976-03-26,4.92
1976-04-02,4.90
1976-04-09,4.87
1976-04-16,4.91
1976-04-23,4.88
1976-04-30,5.00
1976-05-07,5.12
1976-05-14,5.31
1976-05-21,5.59
1976-05-28,5.80
1976-06-04,5.81
1976-06-11,5.75
1976-06-18,5.67
1976-06-25,5.62
1976-07-02,5.63
1976-07-09,5.60
1976-07-16,5.36
1976-07-23,5.38
1976-07-30,5.27
1976-08-06,5.27
1976-08-13,5.27
1976-08-20,5.25
1976-08-27,5.22
1976-09-03,5.20
1976-09-10,5.25
1976-09-17,5.24
1976-09-24,5.21
1976-10-01,5.20
1976-10-08,5.17
1976-10-15,4.98
1976-10-22,4.87
1976-10-29,4.95
1976-11-05,4.92
1976-11-12,4.96
1976-11-19,4.91
1976-11-26,4.69
1976-12-03,4.58
1976-12-10,4.57
1976-12-17,4.54
1976-12-24,4.53
1976-12-31,4.59
1977-01-07,4.64
1977-01-14,4.74
1977-01-21,4.76
1977-01-28,4.81
1977-02-04,4.83
1977-02-11,4.75
1977-02-18,4.71
1977-02-25,4.79
1977-03-04,4.77
1977-03-11,4.79
1977-03-18,4.75
1977-03-25,4.74
1977-04-01,4.71
1977-04-08,4.75
1977-04-15,4.71
1977-04-22,4.72
1977-04-29,4.76
1977-05-06,5.01
1977-05-13,5.27
1977-05-20,5.35
1977-05-27,5.47
1977-06-03,5.37
1977-06-10,5.35
1977-06-17,5.35
1977-06-24,5.33
1977-07-01,5.30
1977-07-08,5.34
1977-07-15,5.35
1977-07-22,5.36
1977-07-29,5.42
1977-08-05,5.63
1977-08-12,5.75
1977-08-19,5.93
1977-08-26,5.88
1977-09-02,5.86
1977-09-09,5.92
1977-09-16,6.13
1977-09-23,6.16
1977-09-30,6.24
1977-10-07,6.41
1977-10-14,6.58
1977-10-21,6.55
1977-10-28,6.45
1977-11-04,6.60
1977-11-11,6.59
1977-11-18,6.50
1977-11-25,6.44
1977-12-02,6.41
1977-12-09,6.48
1977-12-16,6.51
1977-12-23,6.60
1977-12-30,6.69
1978-01-06,6.66
1978-01-13,6.92
1978-01-20,6.85
1978-01-27,6.79
1978-02-03,6.76
1978-02-10,6.76
1978-02-17,6.79
1978-02-24,6.78
1978-03-03,6.75
1978-03-10,6.74
1978-03-17,6.75
1978-03-24,6.72
1978-03-31,6.76
1978-04-07,6.79
1978-04-14,6.79
1978-04-21,6.88
1978-04-28,7.02
1978-05-05,7.10
1978-05-12,7.22
1978-05-19,7.29
1978-05-26,7.40
1978-06-02,7.43
1978-06-09,7.48
1978-06-16,7.68
1978-06-23,7.83
1978-06-30,7.89
1978-07-07,7.95
1978-07-14,7.99
1978-07-21,7.99
1978-07-28,7.91
1978-08-04,7.79
1978-08-11,7.75
1978-08-18,7.87
1978-08-25,8.02
1978-09-01,8.14
1978-09-08,8.24
1978-09-15,8.38
1978-09-22,8.57
1978-09-29,8.76
1978-10-06,8.83
1978-10-13,9.00
1978-10-20,9.28
1978-10-27,9.53
1978-11-03,10.39
1978-11-10,10.58
1978-11-17,10.42
1978-11-24,10.35
1978-12-01,10.47
1978-12-08,10.32
1978-12-15,10.30
1978-12-22,10.73
1978-12-29,10.68
1979-01-05,10.57
1979-01-12,10.37
1979-01-19,10.24
1979-01-26,10.06
1979-02-02,9.89
1979-02-09,9.94
1979-02-16,9.92
1979-02-23,10.03
1979-03-02,9.98
1979-03-09,10.10
1979-03-16,9.95
1979-03-23,9.92
1979-03-30,9.78
1979-04-06,9.84
1979-04-13,10.01
1979-04-20,9.86
1979-04-27,9.71
1979-05-04,9.94
1979-05-11,9.98
1979-05-18,9.95
1979-05-25,9.87
1979-06-01,9.86
1979-06-08,9.84
1979-06-15,9.67
1979-06-22,9.70
1979-06-29,9.68
1979-07-06,9.69
1979-07-13,9.89
1979-07-20,9.96
1979-07-27,10.13
1979-08-03,10.07
1979-08-10,10.23
1979-08-17,10.56
1979-08-24,10.75
1979-08-31,11.08
1979-09-07,11.46
1979-09-14,11.71
1979-09-21,11.76
1979-09-28,11.60
1979-10-05,11.98
1979-10-12,13.44
1979-10-19,13.51
1979-10-26,14.26
1979-11-02,14.02
1979-11-09,14.14
1979-11-16,13.66
1979-11-23,13.41
1979-11-30,12.57
1979-12-07,12.78
1979-12-14,13.52
1979-12-21,13.41
1979-12-28,13.33
1980-01-04,13.24
1980-01-11,13.05
1980-01-18,12.98
1980-01-25,13.15
1980-02-01,13.06
1980-02-08,13.09
1980-02-15,13.30
1980-02-22,14.60
1980-02-29,15.05
1980-03-07,16.53
1980-03-14,17.18
1980-03-21,17.14
1980-03-28,17.23
1980-04-04,17.44
1980-04-11,17.06
1980-04-18,15.98
1980-04-25,14.32
1980-05-02,12.39
1980-05-09,9.97
1980-05-16,9.54
1980-05-23,9.02
1980-05-30,8.35
1980-06-06,8.61
1980-06-13,8.00
1980-06-20,8.00
1980-06-27,8.26
1980-07-04,8.60
1980-07-11,8.50
1980-07-18,8.49
1980-07-25,8.38
1980-08-01,8.90
1980-08-08,9.08
1980-08-15,9.34
1980-08-22,10.09
1980-08-29,10.69
1980-09-05,10.58
1980-09-12,10.75
1980-09-19,11.01
1980-09-26,11.31
1980-10-03,12.44
1980-10-10,12.10
1980-10-17,12.19
1980-10-24,12.57
1980-10-31,13.62
1980-11-07,14.60
1980-11-14,14.56
1980-11-21,15.38
1980-11-28,16.51
1980-12-05,17.19
1980-12-12,19.14
1980-12-19,19.17
1980-12-26,16.76
1981-01-02,16.21
1981-01-09,15.96
1981-01-16,17.01
1981-01-23,17.30
1981-01-30,16.32
1981-02-06,15.86
1981-02-13,16.18
1981-02-20,15.40
1981-02-27,14.83
1981-03-06,15.17
1981-03-13,14.25
1981-03-20,13.02
1981-03-27,13.38
1981-04-03,13.26
1981-04-10,14.52
1981-04-17,14.83
1981-04-24,14.84
1981-05-01,15.49
1981-05-08,17.78
1981-05-15,18.12
1981-05-22,17.83
1981-05-29,16.68
1981-06-05,16.71
1981-06-12,16.10
1981-06-19,16.09
1981-06-26,16.21
1981-07-03,16.53
1981-07-10,16.97
1981-07-17,16.80
1981-07-24,17.49
1981-07-31,17.20
1981-08-07,17.33
1981-08-14,17.17
1981-08-21,17.28
1981-08-28,17.17
1981-09-04,17.02
1981-09-11,16.71
1981-09-18,15.84
1981-09-25,15.39
1981-10-02,15.79
1981-10-09,14.86
1981-10-16,14.49
1981-10-23,14.75
1981-10-30,14.53
1981-11-06,13.50
1981-11-13,12.29
1981-11-20,11.47
1981-11-27,11.10
1981-12-04,11.31
1981-12-11,11.66
1981-12-18,12.26
1981-12-25,12.80
1982-01-01,12.63
1982-01-08,12.43
1982-01-15,12.85
1982-01-22,13.29
1982-01-29,13.68
1982-02-05,14.63
1982-02-12,14.88
1982-02-19,14.96
1982-02-26,13.59
1982-03-05,13.47
1982-03-12,13.51
1982-03-19,13.90
1982-03-26,13.75
1982-04-02,14.18
1982-04-09,14.13
1982-04-16,14.08
1982-04-23,13.85
1982-04-30,13.73
1982-05-07,13.61
1982-05-14,13.31
1982-05-21,13.23
1982-05-28,12.99
1982-06-04,13.24
1982-06-11,13.42
1982-06-18,14.12
1982-06-25,14.60
1982-07-02,14.68
1982-07-09,14.10
1982-07-16,13.45
1982-07-23,11.99
1982-07-30,11.66
1982-08-06,11.18
1982-08-13,11.18
1982-08-20,9.61
1982-08-27,9.54
1982-09-03,10.12
1982-09-10,10.33
1982-09-17,10.68
1982-09-24,10.47
1982-10-01,10.16
1982-10-08,10.09
1982-10-15,8.90
1982-10-22,8.78
1982-10-29,8.93
1982-11-05,8.75
1982-11-12,8.81
1982-11-19,8.91
1982-11-26,8.55
1982-12-03,8.64
1982-12-10,8.53
1982-12-17,8.54
1982-12-24,8.50
1982-12-31,8.54
1983-01-07,8.32
1983-01-14,7.99
1983-01-21,8.05
1983-01-28,8.32
1983-02-04,8.52
1983-02-11,8.45
1983-02-18,8.34
1983-02-25,8.16
1983-03-04,8.10
1983-03-11,8.43
1983-03-18,8.52
1983-03-25,8.77
1983-04-01,8.84
1983-04-08,8.73
1983-04-15,8.48
1983-04-22,8.45
1983-04-29,8.29
1983-05-06,8.17
1983-05-13,8.18
1983-05-20,8.41
1983-05-27,8.60
1983-06-03,8.80
1983-06-10,9.10
1983-06-17,8.94
1983-06-24,9.16
1983-07-01,9.08
1983-07-08,9.28
1983-07-15,9.39
1983-07-22,9.34
1983-07-29,9.39
1983-08-05,9.65
1983-08-12,9.83
1983-08-19,9.57
1983-08-26,9.36
1983-09-02,9.52
1983-09-09,9.36
1983-09-16,9.30
1983-09-23,9.15
1983-09-30,9.03
1983-10-07,8.96
1983-10-14,9.08
1983-10-21,8.96
1983-10-28,9.06
1983-11-04,9.09
1983-11-11,9.18
1983-11-18,9.20
1983-11-25,9.13
1983-12-02,9.17
1983-12-09,9.38
1983-12-16,9.70
1983-12-23,9.66
1983-12-30,9.46
1984-01-06,9.31
1984-01-13,9.24
1984-01-20,9.19
1984-01-27,9.23
1984-02-03,9.15
1984-02-10,9.31
1984-02-17,9.41
1984-02-24,9.50
1984-03-02,9.51
1984-03-09,9.63
1984-03-16,9.79
1984-03-23,10.11
1984-03-30,10.12
1984-04-06,10.20
1984-04-13,10.15
1984-04-20,10.26
1984-04-27,10.26
1984-05-04,10.38
1984-05-11,10.93
1984-05-18,11.02
1984-05-25,10.89
1984-06-01,10.88
1984-06-08,10.76
1984-06-15,10.81
1984-06-22,11.22
1984-06-29,11.41
1984-07-06,11.40
1984-07-13,11.36
1984-07-20,11.31
1984-07-27,11.22
1984-08-03,11.14
1984-08-10,11.21
1984-08-17,11.22
1984-08-24,11.24
1984-08-31,11.29
1984-09-07,11.30
1984-09-14,11.16
1984-09-21,10.95
1984-09-28,10.78
1984-10-05,10.77
1984-10-12,10.45
1984-10-19,10.13
1984-10-26,9.60
1984-11-02,9.49
1984-11-09,9.13
1984-11-16,9.17
1984-11-23,8.93
1984-11-30,8.67
1984-12-07,8.74
1984-12-14,8.70
1984-12-21,8.20
1984-12-28,8.14
1985-01-04,8.19
1985-01-11,7.99
1985-01-18,7.96
1985-01-25,7.90
1985-02-01,8.12
1985-02-08,8.39
1985-02-15,8.48
1985-02-22,8.66
1985-03-01,8.80
1985-03-08,9.10
1985-03-15,8.90
1985-03-22,8.83
1985-03-29,8.68
1985-04-05,8.66
1985-04-12,8.52
1985-04-19,8.22
1985-04-26,8.07
1985-05-03,8.14
1985-05-10,8.02
1985-05-17,7.84
1985-05-24,7.51
1985-05-31,7.43
1985-06-07,7.30
1985-06-14,7.36
1985-06-21,7.19
1985-06-28,7.42
1985-07-05,7.35
1985-07-12,7.40
1985-07-19,7.52
1985-07-26,7.71
1985-08-02,7.72
1985-08-09,7.70
1985-08-16,7.68
1985-08-23,7.64
1985-08-30,7.66
1985-09-06,7.78
1985-09-13,7.90
1985-09-20,7.88
1985-09-27,7.66
1985-10-04,7.71
1985-10-11,7.80
1985-10-18,7.79
1985-10-25,7.78
1985-11-01,7.69
1985-11-08,7.68
1985-11-15,7.71
1985-11-22,7.70
1985-11-29,7.71
1985-12-06,7.75
1985-12-13,7.64
1985-12-20,7.54
1985-12-27,7.67
1986-01-03,7.62
1986-01-10,7.64
1986-01-17,7.69
1986-01-24,7.60
1986-01-31,7.58
1986-02-07,7.56
1986-02-14,7.59
1986-02-21,7.50
1986-02-28,7.50
1986-03-07,7.27
1986-03-14,7.05
1986-03-21,7.04
1986-03-28,7.01
1986-04-04,6.80
1986-04-11,6.46
1986-04-18,6.30
1986-04-25,6.44
1986-05-02,6.46
1986-05-09,6.39
1986-05-16,6.57
1986-05-23,6.63
1986-05-30,6.61
1986-06-06,6.74
1986-06-13,6.64
1986-06-20,6.54
1986-06-27,6.52
1986-07-04,6.37
1986-07-11,6.31
1986-07-18,6.19
1986-07-25,6.15
1986-08-01,6.15
1986-08-08,6.07
1986-08-15,5.92
1986-08-22,5.71
1986-08-29,5.44
1986-09-05,5.41
1986-09-12,5.62
1986-09-19,5.64
1986-09-26,5.66
1986-10-03,5.63
1986-10-10,5.43
1986-10-17,5.60
1986-10-24,5.67
1986-10-31,5.59
1986-11-07,5.60
1986-11-14,5.71
1986-11-21,5.69
1986-11-28,5.71
1986-12-05,5.73
1986-12-12,5.82
1986-12-19,6.02
1986-12-26,6.21
1987-01-02,6.08
1987-01-09,5.72
1987-01-16,5.71
1987-01-23,5.69
1987-01-30,5.81
1987-02-06,5.86
1987-02-13,6.06
1987-02-20,6.05
1987-02-27,6.01
1987-03-06,5.96
1987-03-13,6.06
1987-03-20,6.08
1987-03-27,6.17
1987-04-03,6.19
1987-04-10,6.21
1987-04-17,6.50
1987-04-24,6.47
1987-05-01,6.68
1987-05-08,6.75
1987-05-15,6.82
1987-05-22,7.15
1987-05-29,6.98
1987-06-05,6.90
1987-06-12,6.83
1987-06-19,6.79
1987-06-26,6.81
1987-07-03,6.76
1987-07-10,6.63
1987-07-17,6.52
1987-07-24,6.54
1987-07-31,6.62
1987-08-07,6.65
1987-08-14,6.58
1987-08-21,6.61
1987-08-28,6.69
1987-09-04,6.97
1987-09-11,7.31
1987-09-18,7.35
1987-09-25,7.37
1987-10-02,7.63
1987-10-09,8.04
1987-10-16,8.59
1987-10-23,7.73
1987-10-30,7.26
1987-11-06,7.05
1987-11-13,6.94
1987-11-20,7.06
1987-11-27,7.14
1987-12-04,7.41
1987-12-11,7.64
1987-12-18,7.69
1987-12-25,7.41
1988-01-01,7.17
1988-01-08,6.89
1988-01-15,6.83
1988-01-22,6.73
1988-01-29,6.61
1988-02-05,6.50
1988-02-12,6.43
