DATE,WLODLL
2002-12-18,17943
2002-12-25,24701
2003-01-01,22541
2003-01-08,25196
2003-01-15,26991
2003-01-22,37629
2003-01-29,18327
2003-02-05,23756
2003-02-12,17707
2003-02-19,28006
2003-02-26,23556
2003-03-05,20980
2003-03-12,16219
2003-03-19,29942
2003-03-26,21815
2003-04-02,24004
2003-04-09,18058
2003-04-16,33637
2003-04-23,20745
2003-04-30,31880
2003-05-07,21417
2003-05-14,27603
2003-05-21,21162
2003-05-28,28360
2003-06-04,15747
2003-06-11,29349
2003-06-18,18800
2003-06-25,31055
2003-07-02,20019
2003-07-09,26571
2003-07-16,23429
2003-07-23,32837
2003-07-30,25879
2003-08-06,18340
2003-08-13,20690
2003-08-20,35188
2003-08-27,25927
2003-09-03,28866
2003-09-10,20755
2003-09-17,27034
2003-09-24,25027
2003-10-01,32794
2003-10-08,18268
2003-10-15,29820
2003-10-22,23802
2003-10-29,26560
2003-11-05,19567
2003-11-12,22650
2003-11-19,20365
2003-11-26,27239
2003-12-03,19660
2003-12-10,26336
2003-12-17,18735
2003-12-24,25242
2003-12-31,23058
2004-01-07,19856
2004-01-14,21503
2004-01-21,40544
2004-01-28,25329
2004-02-04,21282
2004-02-11,17688
2004-02-18,20938
2004-02-25,19815
2004-03-03,23087
2004-03-10,19278
2004-03-17,27635
2004-03-24,20716
2004-03-31,24955
2004-04-07,19886
2004-04-14,28722
2004-04-21,23388
2004-04-28,36341
2004-05-05,18852
2004-05-12,28521
2004-05-19,20861
2004-05-26,31282
2004-06-02,19870
2004-06-09,28051
2004-06-16,19208
2004-06-23,30657
2004-06-30,29628
2004-07-07,23476
2004-07-14,22431
2004-07-21,26508
2004-07-28,24655
2004-08-04,18422
2004-08-11,16084
2004-08-18,14001
2004-08-25,23028
2004-09-01,23918
2004-09-08,24346
2004-09-15,24535
2004-09-22,21913
2004-09-29,24943
2004-10-06,16462
2004-10-13,25447
2004-10-20,18343
2004-10-27,24947
2004-11-03,19684
2004-11-10,24842
2004-11-17,16825
2004-11-24,27320
2004-12-01,24780
2004-12-08,27228
2004-12-15,25104
2004-12-22,25406
2004-12-29,21433
2005-01-05,31818
2005-01-12,20709
2005-01-19,26540
2005-01-26,27858
2005-02-02,24179
2005-02-09,14979
2005-02-16,17067
2005-02-23,23502
2005-03-02,19888
2005-03-09,18173
2005-03-16,26291
2005-03-23,17693
2005-03-30,26249
2005-04-06,15791
2005-04-13,24181
2005-04-20,19824
2005-04-27,24915
2005-05-04,17110
2005-05-11,24025
2005-05-18,17391
2005-05-25,23881
2005-06-01,26531
2005-06-08,25122
2005-06-15,19971
2005-06-22,23662
2005-06-29,20127
2005-07-06,24424
2005-07-13,14577
2005-07-20,22653
2005-07-27,20854
2005-08-03,26130
2005-08-10,14291
2005-08-17,20377
2005-08-24,20069
2005-08-31,25702
2005-09-07,20005
2005-09-14,23058
2005-09-21,15667
2005-09-28,27802
2005-10-05,15531
2005-10-12,18416
2005-10-19,14960
2005-10-26,21504
2005-11-02,13813
2005-11-09,19443
2005-11-16,14961
2005-11-23,22384
2005-11-30,20204
2005-12-07,20188
2005-12-14,16228
2005-12-21,26405
2005-12-28,17062
2006-01-04,25835
2006-01-11,14441
2006-01-18,18831
2006-01-25,20123
2006-02-01,19406
2006-02-08,14613
2006-02-15,20030
2006-02-22,21369
2006-03-01,20097
2006-03-08,20556
2006-03-15,26046
2006-03-22,20771
2006-03-29,17959
2006-04-05,14923
2006-04-12,16646
2006-04-19,14583
2006-04-26,24284
2006-05-03,19408
2006-05-10,13984
2006-05-17,16313
2006-05-24,17354
2006-05-31,23395
2006-06-07,22150
2006-06-14,20378
2006-06-21,19651
2006-06-28,14239
2006-07-05,17521
2006-07-12,13269
2006-07-19,21141
2006-07-26,14874
2006-08-02,20965
2006-08-09,14051
2006-08-16,16113
2006-08-23,13373
2006-08-30,23568
2006-09-06,16811
2006-09-13,14112
2006-09-20,12077
2006-09-27,22151
2006-10-04,12875
2006-10-11,26408
2006-10-18,10079
2006-10-25,21006
2006-11-01,21771
2006-11-08,22252
2006-11-15,17664
2006-11-22,24727
2006-11-29,14028
2006-12-06,21575
2006-12-13,12358
2006-12-20,16489
2006-12-27,12772
2007-01-03,20044
2007-01-10,10107
2007-01-17,13713
2007-01-24,13208
2007-01-31,24228
2007-02-07,10492
2007-02-14,17189
2007-02-21,14722
2007-02-28,22906
2007-03-07,12010
2007-03-14,21746
2007-03-21,11290
2007-03-28,18429
2007-04-04,10733
2007-04-11,14628
2007-04-18,10600
2007-04-25,22366
2007-05-02,11873
2007-05-09,22503
2007-05-16,11218
2007-05-23,23223
2007-05-30,19049
2007-06-06,18679
2007-06-13,14090
2007-06-20,16138
2007-06-27,16221
2007-07-04,16755
2007-07-11,10723
2007-07-18,19916
2007-07-25,12558
2007-08-01,17084
2007-08-08,13456
2007-08-15,12565
2007-08-22,13082
2007-08-29,21592
2007-09-05,11286
2007-09-12,31681
2007-09-19,13452
2007-09-26,34239
2007-10-03,10744
2007-10-10,25538
2007-10-17,10276
2007-10-24,21107
2007-10-31,20720
2007-11-07,19797
2007-11-14,20467
2007-11-21,20967
2007-11-28,14477
2007-12-05,15981
2007-12-12,13889
2007-12-19,17661
2007-12-26,11439
2008-01-02,39769
2008-01-09,12892
2008-01-16,28248
2008-01-23,15984
2008-01-30,38497
2008-02-06,9456
2008-02-13,18024
2008-02-20,10323
2008-02-27,22123
2008-03-05,9729
2008-03-12,25006
2008-03-19,10175
2008-03-26,21567
2008-04-02,11417
2008-04-09,25756
2008-04-16,12743
2008-04-23,17100
2008-04-30,20299
2008-05-07,19366
2008-05-14,10574
2008-05-21,27747
2008-05-28,26888
2008-06-04,15750
2008-06-11,14369
2008-06-18,24149
2008-06-25,12833
2008-07-02,16232
2008-07-09,11010
2008-07-16,23929
2008-07-23,10968
2008-07-30,28712
2008-08-06,10862
2008-08-13,25345
2008-08-20,10463
2008-08-27,19377
2008-09-03,10936
2008-09-10,32068
2008-09-17,89102
2008-09-24,95301
2008-10-01,179291
2008-10-08,183314
2008-10-15,271881
2008-10-22,226903
2008-10-29,425972
2008-11-05,503590
2008-11-12,594353
2008-11-19,630492
2008-11-26,611195
2008-12-03,655179
2008-12-10,777842
2008-12-17,801742
2008-12-24,819404
2008-12-31,860000
2009-01-07,846140
2009-01-14,827509
2009-01-21,808299
2009-01-28,740403
2009-02-04,646996
2009-02-11,600057
2009-02-18,709130
2009-02-25,701143
2009-03-04,619713
2009-03-11,632490
2009-03-18,780306
2009-03-25,822412
2009-04-01,837463
2009-04-08,841589
2009-04-15,894904
2009-04-22,915773
2009-04-29,812930
2009-05-06,825623
2009-05-13,931737
2009-05-20,955220
2009-05-27,877011
2009-06-03,844677
2009-06-10,815657
2009-06-17,743952
2009-06-24,745173
2009-07-01,726260
2009-07-08,749154
2009-07-15,808824
2009-07-22,781389
2009-07-29,747124
2009-08-05,724650
2009-08-12,777026
2009-08-19,818806
2009-08-26,861955
2009-09-02,822333
2009-09-09,877995
2009-09-16,862827
2009-09-23,903044
2009-09-30,848085
2009-10-07,966537
2009-10-14,1051949
2009-10-21,1059569
2009-10-28,1083447
2009-11-04,1065118
2009-11-11,1044235
2009-11-18,1109269
2009-11-25,1168570
2009-12-02,1122010
2009-12-09,1106669
2009-12-16,1073295
2009-12-23,1082520
2009-12-30,1025271
2010-01-06,1024498
2010-01-13,1135245
2010-01-20,1063042
2010-01-27,1110737
2010-02-03,1116260
2010-02-10,1163597
2010-02-17,1205165
2010-02-24,1248923
2010-03-03,1186082
2010-03-10,1190756
2010-03-17,1118090
2010-03-24,1147747
2010-03-31,1053876
2010-04-07,1114288
2010-04-14,1063980
2010-04-21,1059294
2010-04-28,1048805
2010-05-05,1032739
2010-05-12,1092845
2010-05-19,1095739
2010-05-26,1088403
2010-06-02,1038827
2010-06-09,1078093
2010-06-16,1020678
2010-06-23,1062348
2010-06-30,972337
2010-07-07,1059117
2010-07-14,1071263
2010-07-21,1048285
2010-07-28,1050890
2010-08-04,1040217
2010-08-11,1058230
2010-08-18,1041795
2010-08-25,1053342
2010-09-01,1012980
2010-09-08,1052403
2010-09-15,934600
2010-09-22,982493
2010-09-29,984139
2010-10-06,1000014
2010-10-13,1028771
2010-10-20,995033
2010-10-27,1010605
2010-11-03,982722
2010-11-10,1006818
2010-11-17,988866
2010-11-24,1027832
2010-12-01,1010843
2010-12-08,1061256
2010-12-15,997052
2010-12-22,1035524
2010-12-29,1020726
2011-01-05,1033169
2011-01-12,1097841
2011-01-19,1063957
2011-01-26,1086327
2011-02-02,1081316
2011-02-09,1189250
2011-02-16,1220060
2011-02-23,1292835
2011-03-02,1298708
2011-03-09,1381343
2011-03-16,1336621
2011-03-23,1410468
2011-03-30,1458165
2011-04-06,1505138
2011-04-13,1534194
2011-04-20,1465320
2011-04-27,1452188
2011-05-04,1475479
2011-05-11,1546654
2011-05-18,1538699
2011-05-25,1592091
2011-06-01,1593129
2011-06-08,1662964
2011-06-15,1569229
2011-06-22,1596966
2011-06-29,1622395
2011-07-06,1663022
2011-07-13,1687515
2011-07-20,1627197
2011-07-27,1658319
2011-08-03,1647867
2011-08-10,1628060
2011-08-17,1647157
2011-08-24,1610044
2011-08-31,1591995
2011-09-07,1610237
2011-09-14,1620658
2011-09-21,1549462
2011-09-28,1608996
2011-10-05,1626597
2011-10-12,1635388
2011-10-19,1571686
2011-10-26,1588042
2011-11-02,1521759
2011-11-09,1593637
2011-11-16,1577567
2011-11-23,1491829
2011-11-30,1487253
2011-12-07,1549985
2011-12-14,1615168
2011-12-21,1506559
2011-12-28,1569267
2012-01-04,1581549
2012-01-11,1584775
2012-01-18,1545459
2012-01-25,1579243
2012-02-01,1573947
2012-02-08,1633735
2012-02-15,1673837
2012-02-22,1622800
2012-02-29,1607107
2012-03-07,1604062
2012-03-14,1566195
2012-03-21,1544629
2012-03-28,1564982
2012-04-04,1562352
2012-04-11,1568800
2012-04-18,1515300
2012-04-25,1526319
2012-05-02,1483144
2012-05-09,1510340
2012-05-16,1515702
2012-05-23,1526151
2012-05-30,1526088
2012-06-06,1546861
2012-06-13,1566665
2012-06-20,1461720
2012-06-27,1491988
2012-07-04,1507949
2012-07-11,1527556
2012-07-18,1537287
2012-07-25,1567867
2012-08-01,1540999
2012-08-08,1560221
2012-08-15,1563493
2012-08-22,1509847
2012-08-29,1531187
2012-09-05,1528383
2012-09-12,1502895
2012-09-19,1420635
2012-09-26,1470536
2012-10-03,1464625
2012-10-10,1469795
2012-10-17,1506249
2012-10-24,1433241
2012-10-31,1434400
2012-11-07,1511296
2012-11-14,1506782
2012-11-21,1512914
2012-11-28,1539515
2012-12-05,1523936
2012-12-12,1548229
2012-12-19,1482698
2012-12-26,1532687
2013-01-02,1508672
2013-01-09,1565502
2013-01-16,1604286
2013-01-23,1596324
2013-01-30,1644994
2013-02-06,1667715
2013-02-13,1696681
2013-02-20,1668383
2013-02-27,1754362
2013-03-06,1745310
2013-03-13,1802589
2013-03-20,1756224
2013-03-27,1829612
2013-04-03,1837830
2013-04-10,1851361
2013-04-17,1849229
2013-04-24,1749487
2013-05-01,1813604
2013-05-08,1869663
2013-05-15,1952297
2013-05-22,1975178
2013-05-29,2022589
2013-06-05,2026257
2013-06-12,2040727
2013-06-19,1928398
2013-06-26,2017729
2013-07-03,2051984
2013-07-10,2083053
2013-07-17,2140437
2013-07-24,2099329
2013-07-31,2120843
2013-08-07,2160982
2013-08-14,2198859
2013-08-21,2200192
2013-08-28,2264575
2013-09-04,2274198
2013-09-11,2275642
2013-09-18,2254032
2013-09-25,2307013
2013-10-02,2329156
2013-10-09,2362899
2013-10-16,2383431
2013-10-23,2382593
2013-10-30,2434946
2013-11-06,2450034
2013-11-13,2489017
2013-11-20,2470180
2013-11-27,2488387
2013-12-04,2510626
2013-12-11,2540722
2013-12-18,2465932
2013-12-25,2450733
2014-01-01,2249070
2014-01-08,2490132
2014-01-15,2560078
2014-01-22,2494731
2014-01-29,2525775
2014-02-05,2546900
2014-02-12,2601785
2014-02-19,2610617
2014-02-26,2610540
2014-03-05,2659069
2014-03-12,2662686
2014-03-19,2613996
2014-03-26,2611169
2014-04-02,2611768
2014-04-09,2697888
2014-04-16,2670804
2014-04-23,2583715
2014-04-30,2514438
2014-05-07,2597049
2014-05-14,2647633
2014-05-21,2658133
2014-05-28,2677298
2014-06-04,2708064
2014-06-11,2709242
2014-06-18,2637585
2014-06-25,2628060
2014-07-02,2604780
2014-07-09,2633053
2014-07-16,2654218
2014-07-23,2787997
2014-07-30,2785798
2014-08-06,2789406
2014-08-13,2799350
2014-08-20,2769843
2014-08-27,2778394
2014-09-03,2813753
2014-09-10,2788954
2014-09-17,2751908
2014-09-24,2707185
2014-10-01,2685947
2014-10-08,2765616
2014-10-15,2820736
2014-10-22,2679606
2014-10-29,2627273
2014-11-05,2600218
2014-11-12,2570696
2014-11-19,2486314
2014-11-26,2479295
2014-12-03,2479454
2014-12-10,2428934
2014-12-17,2739110
2014-12-24,2609635
2014-12-31,2377996
2015-01-07,2710273
2015-01-14,2760384
2015-01-21,2671704
2015-01-28,2662580
2015-02-04,2708811
2015-02-11,2558213
2015-02-18,2445901
2015-02-25,2346998
2015-03-04,2554669
2015-03-11,2692693
2015-03-18,2726319
2015-03-25,2737802
2015-04-01,2667663
2015-04-08,2792912
2015-04-15,2748955
2015-04-22,2617380
2015-04-29,2581067
2015-05-06,2610056
2015-05-13,2643845
2015-05-20,2588146
2015-05-27,2536920
2015-06-03,2490044
2015-06-10,2661661
2015-06-17,2575506
2015-06-24,2493529
2015-07-01,2504532
2015-07-08,2585343
2015-07-15,2655145
2015-07-22,2645457
2015-07-29,2632830
2015-08-05,2624012
2015-08-12,2555790
2015-08-19,2553587
2015-08-26,2705163
2015-09-02,2694817
2015-09-09,2734650
2015-09-16,2643764
2015-09-23,2602196
2015-09-30,2197657
2015-10-07,2678794
2015-10-14,2719981
2015-10-21,2675588
2015-10-28,2668187
2015-11-04,2689851
2015-11-11,2659338
2015-11-18,2611966
2015-11-25,2574961
2015-12-02,2532190
2015-12-09,2510015
2015-12-16,2460053
2015-12-23,2371079
2015-12-30,2208683
2016-01-06,2353501
2016-01-13,2450827
2016-01-20,2412078
2016-01-27,2399267
2016-02-03,2441276
2016-02-10,2483140
2016-02-17,2490021
2016-02-24,2426047
2016-03-02,2496582
2016-03-09,2533225
2016-03-16,2455522
2016-03-23,2431826
2016-03-30,2336086
2016-04-06,2467091
2016-04-13,2509845
2016-04-20,2404665
2016-04-27,2353257
2016-05-04,2383369
2016-05-11,2409768
2016-05-18,2399629
2016-05-25,2339987
2016-06-01,2400969
2016-06-08,2448818
2016-06-15,2404901
2016-06-22,2318595
2016-06-29,2199119
2016-07-06,2308282
2016-07-13,2327301
2016-07-20,2318251
2016-07-27,2332237
2016-08-03,2403064
2016-08-10,2382780
2016-08-17,2335873
2016-08-24,2341222
2016-08-31,2230607
2016-09-07,2382028
2016-09-14,2349288
2016-09-21,2170319
2016-09-28,2085237
2016-10-05,2063383
2016-10-12,2162086
2016-10-19,2105811
2016-10-26,2065020
2016-11-02,2137209
2016-11-09,2190082
2016-11-16,2177585
2016-11-23,2103184
2016-11-30,2015313
2016-12-07,2133602
2016-12-14,2123555
2016-12-21,1962767
2016-12-28,1942983
2017-01-04,1998166
2017-01-11,2110927
2017-01-18,2118818
2017-01-25,2137012
2017-02-01,2172093
2017-02-08,2237460
2017-02-15,2254271
2017-02-22,2243156
2017-03-01,2307954
2017-03-08,2351131
2017-03-15,2368120
2017-03-22,2313962
2017-03-29,2269985
2017-04-05,2337776
2017-04-12,2367767
2017-04-19,2256670
2017-04-26,2200671
2017-05-03,2200821
2017-05-10,2219918
2017-05-17,2247674
2017-05-24,2206163
2017-05-31,2129606
2017-06-07,2270846
2017-06-14,2231204
2017-06-21,2164616
2017-06-28,2118108
2017-07-05,2169650
2017-07-12,2238951
2017-07-19,2250646
2017-07-26,2293616
2017-08-02,2291577
2017-08-09,2336315
2017-08-16,2364972
2017-08-23,2338170
2017-08-30,2331956
2017-09-06,2357048
2017-09-13,2360190
2017-09-20,2229409
2017-09-27,2178841
2017-10-04,2228518
2017-10-11,2267739
2017-10-18,2255104
2017-10-25,2241618
2017-11-01,2281472
2017-11-08,2317610
2017-11-15,2357806
2017-11-22,2329834
2017-11-29,2271173
2017-12-06,2325294
2017-12-13,2322762
2017-12-20,2237142
2017-12-27,2176452
2018-01-03,2194651
2018-01-10,2257894
2018-01-17,2234452
2018-01-24,2182220
2018-01-31,2142376
2018-02-07,2240014
2018-02-14,2255967
2018-02-21,2215339
2018-02-28,2208308
2018-03-07,2261353
2018-03-14,2190143
2018-03-21,2135068
2018-03-28,2119005
2018-04-04,2098731
2018-04-11,2128844
2018-04-18,2067159
2018-04-25,2010948
2018-05-02,1991823
2018-05-09,2046776
2018-05-16,2022661
2018-05-23,2040545
2018-05-30,2005887
2018-06-06,2031965
2018-06-13,2063038
2018-06-20,1952143
2018-06-27,1940916.0
2018-07-04,1954210.0
2018-07-11,1980868.0
2018-07-18,1949946.0
2018-07-25,1947288.0
2018-08-01,1966432.0
2018-08-08,1966103.0
2018-08-15,1918744.0
2018-08-22,1902785.0
2018-08-29,1880507.0
2018-09-05,1897901.0
2018-09-12,1924009.0
2018-09-19,1822718.0
2018-09-26,1837874.0
2018-10-03,1837587.0
2018-10-10,1878887.0
2018-10-17,1831618.0
2018-10-24,1825010.0
2018-10-31,1771541.0
2018-11-07,1828825.0
2018-11-14,1799529.0
2018-11-21,1757507.0
2018-11-28,1758681.0
2018-12-05,1736307.0
2018-12-12,1751413.0
2018-12-19,1649165.0
2018-12-26,1660932.0
2019-01-02,1607336.0
2019-01-09,1664186.0
2019-01-16,1625501.0
2019-01-23,1611718.0
2019-01-30,1609140.0
2019-02-06,1658863.0
2019-02-13,1634417.0
2019-02-20,1619745.0
2019-02-27,1682210.0
2019-03-06,1736547.0
2019-03-13,1707125.0
2019-03-20,1623812.0
2019-03-27,1632788.0
2019-04-03,1630987.0
2019-04-10,1646560.0
2019-04-17,1524297.0
2019-04-24,1472812.0
2019-05-01,1460010.0
2019-05-08,1490680.0
2019-05-15,1516419.0
2019-05-22,1532833.0
2019-05-29,1534792.0
2019-06-05,1559710.0
2019-06-12,1609738.0
2019-06-19,1501524.0
2019-06-26,1508451.0
2019-07-03,1485213.0
2019-07-10,1525352.0
2019-07-17,1515069.0
2019-07-24,1525340.0
2019-07-31,1490546.0
2019-08-07,1551621.0
2019-08-14,1511264.0
2019-08-21,1517820.0
2019-08-28,1504244.0
2019-09-04,1454454.0
2019-09-11,1458667.0
2019-09-18,1385426.0
2019-09-25,1427289.0
2019-10-02,1486710.0
2019-10-09,1528394.0
2019-10-16,1469871.0
2019-10-23,1451555.0
2019-10-30,1484719.0
2019-11-06,1528757.0
2019-11-13,1542664.0
2019-11-20,1530158.0
2019-11-27,1559719.0
2019-12-04,1593719.0
2019-12-11,1671196.0
2019-12-18,1631448.0
2019-12-25,1648238.0
2020-01-01,1548849.0
2020-01-08,1656629.0
2020-01-15,1673362.0
2020-01-22,1609594.0
2020-01-29,1612223.0
2020-02-05,1652873.0
2020-02-12,1695082.0
2020-02-19,1659021.0
2020-02-26,1680070.0
2020-03-04,1735006.0
2020-03-11,1779990.0
2020-03-18,1945394.0
2020-03-25,2347747.0
2020-04-01,2684398.0
2020-04-08,2774506.0
2020-04-15,3069874.0
2020-04-22,3099980.0
2020-04-29,3163513.0
2020-05-06,3165606.0
2020-05-13,3263431.0
2020-05-20,3304221.0
2020-05-27,3317688.0
2020-06-03,3257435.0
2020-06-10,3190654.0
2020-06-17,3069439.0
2020-06-24,2937657.0
2020-07-01,2863196.0
2020-07-08,2813296.0
2020-07-15,2732649.0
2020-07-22,2659658.0
2020-07-29,2685376.0
2020-08-05,2753531.0
2020-08-12,2828170.0
2020-08-19,2821853.0
2020-08-26,2875400.0
2020-09-02,2850600.0
2020-09-09,2906854.0
2020-09-16,2869311.0
2020-09-23,2848085.0
2020-09-30,2743246.0
2020-10-07,2863357.0
2020-10-14,2907734.0
2020-10-21,2890130.0
2020-10-28,2947256.0
2020-11-04,2979537.0
2020-11-11,2992099.0
2020-11-18,3033229.0
2020-11-25,3143863.0
2020-12-02,3101235.0
2020-12-09,3147656.0
2020-12-16,3168826.0
2020-12-23,3177310.0
2020-12-30,3142977.0
2021-01-06,3163779.0
2021-01-13,3200869.0
2021-01-20,3149807.0
2021-01-27,3228751.0
2021-02-03,3202722.0
2021-02-10,3298639.0
2021-02-17,3407871.0
2021-02-24,3384262.0
2021-03-03,3564850.0
2021-03-10,3646732.0
2021-03-17,3873323.0
2021-03-24,3809139.0
2021-03-31,3672702.0
2021-04-07,3944055.0
2021-04-14,3936454.0
2021-04-21,3767454.0
2021-04-28,3889018.0
2021-05-05,3900803.0
2021-05-12,3955864.0
2021-05-19,3823981.0
2021-05-26,3851623.0
2021-06-02,3848262.0
2021-06-09,3916725.0
2021-06-16,3905736.0
2021-06-23,3765714.0
2021-06-30,3511630.0
2021-07-07,3856203.0
2021-07-14,3944700.0
2021-07-21,3974547.0
2021-07-28,4001061.0
2021-08-04,4045893.0
2021-08-11,4127290.0
2021-08-18,4162165.0
2021-08-25,4203478.0
2021-09-01,4206449.0
2021-09-08,4259603.0
2021-09-15,4244677.0
2021-09-22,4137919.0
2021-09-29,4094810.0
2021-10-06,4167544.0
2021-10-13,4204510.0
2021-10-20,4050343.0
2021-10-27,4123154.0
2021-11-03,4149830.0
2021-11-10,4178586.0
2021-11-17,4188837.0
2021-11-24,4172807.0
2021-12-01,4266022.0
2021-12-08,4255600.0
2021-12-15,4273634.0
2021-12-22,4104926.0
2021-12-29,4039860.0
2022-01-05,4028460.0
2022-01-12,3928933.0
2022-01-19,3821743.0
2022-01-26,3825076.0
2022-02-02,3756617.0
2022-02-09,3794977.0
2022-02-16,3796720.0
2022-02-23,3745976.0
2022-03-02,3919484.0
2022-03-09,3953651.0
2022-03-16,3893412.0
2022-03-23,3769046.0
2022-03-30,3773466.0
2022-04-06,3849872.0
2022-04-13,3793319.0
2022-04-20,3326857.0
2022-04-27,3327551.0
